Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Boston Celtics,51,0.392,0.489,0.226,0.146,0.29100000000000004,0.494,0.272,0.14800000000000002,0.29,2014-15,16,0.5,102.7,104.4,-1.7,20
Brooklyn Nets,52,0.40399999999999997,0.48700000000000004,0.27,0.154,0.27699999999999997,0.502,0.268,0.146,0.298,2014-15,15,0.33299999999999996,102.4,111.6,-9.2,17
Charlotte Hornets,52,0.423,0.456,0.27699999999999997,0.125,0.27699999999999997,0.48700000000000004,0.245,0.136,0.251,2014-15,13,0.5379999999999999,94.7,96.6,-1.9,11
Chicago Bulls,54,0.63,0.491,0.312,0.147,0.318,0.47600000000000003,0.24,0.132,0.297,2014-15,16,0.5,108.2,105.3,2.9,16
Cleveland Cavaliers,55,0.6,0.511,0.295,0.15,0.315,0.504,0.237,0.142,0.299,2014-15,18,0.778,113.8,105.3,8.4,20
Dallas Mavericks,55,0.655,0.521,0.257,0.128,0.278,0.498,0.271,0.168,0.326,2014-15,17,0.588,105.8,102.0,3.8,14
Denver Nuggets,53,0.377,0.47700000000000004,0.28800000000000003,0.145,0.301,0.49700000000000005,0.317,0.13699999999999998,0.29600000000000004,2014-15,16,0.188,99.9,108.2,-8.4,10
Detroit Pistons,54,0.389,0.479,0.26899999999999996,0.14400000000000002,0.315,0.507,0.243,0.149,0.28300000000000003,2014-15,17,0.47100000000000003,107.0,107.0,-0.1,11
Golden State Warriors,51,0.8240000000000001,0.54,0.24600000000000002,0.14800000000000002,0.27,0.46399999999999997,0.28300000000000003,0.165,0.302,2014-15,17,0.765,112.2,101.5,10.7,25
Houston Rockets,53,0.679,0.51,0.294,0.17300000000000001,0.312,0.48700000000000004,0.292,0.171,0.312,2014-15,16,0.625,108.0,107.5,0.5,20
Indiana Pacers,54,0.389,0.47700000000000004,0.257,0.153,0.29600000000000004,0.486,0.28300000000000003,0.135,0.257,2014-15,15,0.4,103.0,104.8,-1.9,17
Los Angeles Clippers,54,0.648,0.53,0.303,0.126,0.272,0.504,0.311,0.151,0.285,2014-15,17,0.588,112.4,108.3,4.1,21
Los Angeles Lakers,53,0.245,0.47100000000000003,0.28,0.135,0.29100000000000004,0.521,0.3,0.141,0.292,2014-15,16,0.063,97.5,107.5,-10.0,8
Memphis Grizzlies,53,0.736,0.49200000000000005,0.28600000000000003,0.13699999999999998,0.293,0.491,0.251,0.16399999999999998,0.28300000000000003,2014-15,17,0.8240000000000001,104.5,96.5,8.0,16
Miami Heat,52,0.423,0.501,0.309,0.161,0.275,0.51,0.284,0.16,0.317,2014-15,16,0.43799999999999994,99.9,102.7,-2.8,15
Milwaukee Bucks,53,0.5660000000000001,0.51,0.255,0.17300000000000001,0.282,0.483,0.302,0.17800000000000002,0.322,2014-15,14,0.7140000000000001,105.9,100.0,5.9,11
